% time	cellId	IMSI	RNTI	frame	sframe	scPrdStartFr	scPrdStartSf	resPscch	sizeTb	pscchRbLen	pscchStartRb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	dropped
5123	0	2	2	513	8	513	1	97	6	1	40	0	255	10	35	0	16	255	0
5156	0	1	1	517	1	517	1	84	6	1	38	0	255	10	5	0	16	255	0
5156	0	3	3	517	1	517	1	96	6	1	12	0	255	10	14	0	16	255	0
5158	0	2	2	517	3	517	1	156	6	1	47	0	255	10	14	0	16	255	0
5160	0	1	1	517	5	517	1	84	6	1	10	0	255	10	5	0	16	255	0
5160	0	2	2	517	5	517	1	156	6	1	19	0	255	10	14	0	16	255	0
5162	0	3	3	517	7	517	1	96	6	1	40	0	255	10	14	0	16	255	0
5196	0	1	1	521	1	521	1	175	6	1	49	0	255	10	10	0	16	255	0
5196	0	3	3	521	1	521	1	35	6	1	32	0	255	10	32	0	16	255	0
5197	0	2	2	521	2	521	1	15	6	1	29	0	255	10	37	0	16	255	0
5199	0	3	3	521	4	521	1	35	6	1	4	0	255	10	32	0	16	255	0
5203	0	1	1	521	8	521	1	175	6	1	21	0	255	10	10	0	16	255	0
5203	0	2	2	521	8	521	1	15	6	1	1	0	255	10	37	0	16	255	0
5238	0	1	1	525	3	525	1	156	6	1	47	0	255	10	38	0	16	255	0
5239	0	2	2	525	4	525	1	139	6	1	17	0	255	10	31	0	16	255	0
5240	0	1	1	525	5	525	1	156	6	1	19	0	255	10	38	0	16	255	0
5243	0	2	2	525	8	525	1	139	6	1	45	0	255	10	31	0	16	255	0
5278	0	2	2	529	3	529	1	170	6	1	21	0	255	10	34	0	16	255	0
5279	0	1	1	529	4	529	1	139	6	1	17	0	255	10	25	0	16	255	0
5279	0	2	2	529	4	529	1	170	6	1	49	0	255	10	34	0	16	255	0
5279	0	3	3	529	4	529	1	139	6	1	17	0	255	10	9	0	16	255	0
5283	0	1	1	529	8	529	1	139	6	1	45	0	255	10	25	0	16	255	0
5283	0	3	3	529	8	529	1	139	6	1	45	0	255	10	9	0	16	255	0
5316	0	1	1	533	1	533	1	8	6	1	1	0	255	10	24	0	16	255	0
5316	0	2	2	533	1	533	1	175	6	1	49	0	255	10	34	0	16	255	0
